ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
39031-012,Strategy for Sustainable Aquaculture Development for Poverty Reduction,Philippines,Sovereign,Technical Assistance,Closed,4708,02/12/2005,"600,000.00",,"Agriculture, natural resources and rural development",Fishery,,,,Southeast Asia Department,Bureau of Fisheries & Aquatic Resources,"Islam, Mohammed Nasimul"
39033-012,HIV/AIDS Prevention and Control in Rural Development Enclaves,Papua New Guinea,Sovereign,Technical Assistance,Closed,4583,28/04/2005,"150,000.00",,Health,Disease control  of communicable disease,C,B,C,Pacific Department,Department of Health,"Izard, John R."
39033-022,HIV/AIDS Prevention and Control in Rural Development Enclaves (ADF Grant),Papua New Guinea,Sovereign,Grant,Closed,0042,25/04/2006,"15,000,000.00",Nation-wide,Health,Disease control  of communicable disease | Health sector development and reform | Health system development,C,B,C,Pacific Department,Department of Health,"Mikkelsen-Lopez, Inez"
39034-012,Community-Based Rural Roads Maintenance Project,Tajikistan,Sovereign,Grant,Closed,9078,04/11/2005,0,,Transport,,C,,,Central and West Asia Department,Ministry of Transport,"Hong, Heeyoung"
39035-012,"Innovative Information and Communications Technology in Education, and Its Potential for Reducing Poverty in the Asia and Pacific Region",Regional,Sovereign,Technical Assistance,Closed,6278,02/12/2005,0,Regional,Education,Pre-primary and primary,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Sarvi, Jouko"
39036-012,Dormitories and Learning Centers for Secondary Schoolgirls (formerly Dormitories for Secondary School Girls),Cambodia,Sovereign,Technical Assistance,Closed,4777,03/04/2006,0,,Education,Secondary,,,,Southeast Asia Department,"Ministry of Education, Youth and Sport","Lochmann, Barbara"
39037-022,Women's Development Centers,Cambodia,Sovereign,Grant,Closed,9081,21/12/2005,0,,Multisector,,B,,C,Southeast Asia Department,Ministry of Women's Affairs,"Schelzig, Karin Mara"
39038-012,Heilongjiang Roads Development,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4592,03/06/2005,"500,000.00",,Transport,Road transport (non-urban),A,,,East Asia Department,Heilongjiang Provincial Transportation Department,"Noda, Seiji"
39038-013,Heilongjiang Roads Network Development Project,"China, People's Republic of",Sovereign,Loan,Closed,2247,26/07/2006,"200,000,000.00",,Transport,Road transport (non-urban),A,B,A,East Asia Department,Heilongjiang Provincial Transportation Department,"Tian, Valeri D."
39041-012,Support for the Preparation of the 11th Five-Year Plan in the PRC,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4634,19/08/2005,"500,000.00",,Public sector management,Economic affairs management,,,,East Asia Department,National Development and Reform Commission,"Zhuang, Jian"
39063-012,Pro-Poor Planning and Budgeting,Indonesia,Sovereign,Technical Assistance,Closed,4762,16/01/2006,"1,800,000.00",,Public sector management,Decentralization,,,,Southeast Asia Department,National Development Planning Agency (BAPPENAS),"Schelzig, Karin Mara"
39066-012,Support for Health Sector Reform,Philippines,Sovereign,Technical Assistance,Closed,4647,15/09/2005,"1,000,000.00",,Health,Health sector development and reform,,,,Southeast Asia Department,Department of Health,"Inagaki, Ayako"
39068-012,"Strengthening Epidemiological Surveillance and Response for Communicable Diseases in Indonesia, Malaysia, and Philippines",Regional,Sovereign,Technical Assistance,Closed,6305,18/01/2006,"1,200,000.00",Regional,Health,Disease control  of communicable disease,,,,Southeast Asia Department,Asian Development Bank,"de Wit, Vincent P."
39071-012,Metropolitan Sanitation Management and Health,Indonesia,Sovereign,Technical Assistance,Closed,4763,16/01/2006,"1,200,000.00",,Water and other urban infrastructure and services,Urban sanitation | Urban sewerage | Urban solid waste management,B,C,C,Southeast Asia Department,Dirgen of Human Settlements (CIPTA KARYA),"Lawira, Helena"
39071-013,Metropolitan Sanitation Management and Health Project,Indonesia,Sovereign,Loan,Closed,2654,19/07/2010,"35,000,000.00","Kabupaten Bantul, Kabupaten Sleman, Kota Medan, Kotamadya Yogyakarta",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sanitation | Urban sewerage",B,C,B,Southeast Asia Department,"Directorate General of Human Settlements, Ministry of Public Works and Housing","Carolina, Anastasia"
39071-042,Capacity Development for Metropolitan Sanitation Management and Health Project,Indonesia,Sovereign,Technical Assistance,Closed,7562,19/07/2010,"500,000.00",,Water and other urban infrastructure and services,Urban sanitation,,,,Southeast Asia Department,"Directorate General of Human Settlements, Ministry of Public Works and Housing","Coloma Brotons, Javier"
39073-012,Policies for Private Sector Development,Papua New Guinea,Sovereign,Technical Assistance,Closed,4722,09/12/2005,"1,000,000.00",,Industry and trade,Industry and trade sector development,,,,Pacific Department,PNG Chamber of Commerce and Industry,"Iffland, Andrea"
39074-012,Demographic and Health Surveys in Pacific Island Countries (formerly Regional Demographic and Health Survey),Regional,Sovereign,Technical Assistance,Closed,6258,22/09/2005,"1,000,000.00",Regional,Health,Health sector development and reform,,,,Pacific Department,Secretariat of the Pacific Community,"Taniguchi, Kiyoshi"
39076-012,"Air Pollution, Poverty and Health Effects in Ho Chi Minh City",Viet Nam,Sovereign,Technical Assistance,Closed,4714,05/12/2005,0,,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development",,,,Southeast Asia Department,Ministry of Health,"Gunatilake, Herath"
39078-012,Small to Medium-Sized Hydropower Development Project,Afghanistan,Sovereign,Technical Assistance,Closed,4662,03/10/2005,"800,000.00",,Energy,Large hydropower generation,B,C,B,Central and West Asia Department,,ADB Disclosure
39079-012,Country Environmental Analysis,Regional,Sovereign,Technical Assistance,Closed,4641,30/08/2005,"150,000.00",Regional,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,East Asia Department,Asian Development Bank,"Zhang, Qingfeng"
39083-012,Establishment of the CAREC Members' Electricity Regulatory Forum,Regional,Sovereign,Technical Assistance,Closed,6267,03/11/2005,"500,000.00",Regional,Energy,Energy sector development and institutional reform,,,,Central and West Asia Department,Asian Development Bank,"Byambasaikhan, Bayanjargal"
39084-012,Development Study of GMS Economic Corridors (formerly Greater Mekong Subregion: Development Study of the North-South Economic Corridor),Regional,Sovereign,Technical Assistance,Closed,6310,20/03/2006,"400,000.00",Regional,Public sector management,Economic affairs management,,,,Southeast Asia Department,Asian Development Bank,"Srivastava, Pradeep"
39089-012,Maintenance of Regional Road Transport Corridors Project,Regional,Sovereign,Technical Assistance,Closed,6309,09/03/2006,"500,000.00",Regional,Transport,Road transport (non-urban),,,,Central and West Asia Department,"Ministry of Transport, Architecture, Construction and Communications (formerly Ministry of Transport and Roads)","Sanda, Roka"
39092-012,Transboundary Animal Disease Control for Poverty Reduction in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,6390,27/03/2007,"1,150,000.00",Regional,"Agriculture, natural resources and rural development",Livestock,,,,Southeast Asia Department,Asian Development Bank,"Ramachandran, Pavit"
39094-012,Support to Trade Facilitation and Capacity Building in the GMS,Regional,Sovereign,Technical Assistance,Closed,6328,19/07/2006,"650,000.00",Regional,Industry and trade,Trade and services,,,,Southeast Asia Department,Asian Development Bank,"Ding, Lingling"
39095-012,Infrastructure Investment Advisory Assistance to Public Debt Management Office Thailand,Thailand,Sovereign,Technical Assistance,Closed,4676,31/10/2005,"281,000.00",,Public sector management,Public expenditure and fiscal management,,,,Southeast Asia Department,Ministry of Finance,"Lynch, James Patrick"
39096-012,Business Environment in GMS,Regional,Sovereign,Technical Assistance,Closed,6266,31/10/2005,"300,000.00",Regional,Public sector management,Economic affairs management,,,,Southeast Asia Department,Asian Development Bank,"Cyhn, Jin W."
39098-012,Evaluating Poverty Impacts of Transport Projects,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4650,21/09/2005,"150,000.00",,Transport,Road transport (non-urban),,,,East Asia Department,Ministry of Transportation,"Kwon, Eunkyung"
39099-013,Tsunami Emergency Assistance Project,Maldives,Sovereign,Grant | Loan,Closed,0001 | 2160,31/03/2005,"21,800,000.00",,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport",Agricultural production | Fishery | Rural sanitation | Rural solid waste management | Rural water supply services | Electricity transmission and distribution | Social protection initiatives | Air transport | Water transport (non-urban),B,,,South Asia Department,Ministry of Finance (formerly Ministry of Finance and Treasury),"Jeffries, Andrew"
39100-012,Implementing the Regulatory and Supervisory Framework for Microfinance,Viet Nam,Sovereign,Technical Assistance,Closed,4638,29/08/2005,0,,Finance,Inclusive finance,,,,Southeast Asia Department,State Bank of Vietnam,Brett Coleman
39101-012,Supporting Financial Management Decentralization,Viet Nam,Sovereign,Technical Assistance,Closed,7051,24/12/2007,"400,000.00",,Finance,Finance sector development,,,,Southeast Asia Department,Ministry of Finance,"Konishi, Ayumi"
39101-022,Supporting Project Financial Management Decentralization (Phase 3),Viet Nam,Sovereign,Technical Assistance,Closed,8181,27/09/2012,"580,000.00",,Public sector management,Decentralization | Economic affairs management,,,,Southeast Asia Department,Ministry of Finance,Minh Chu
39102-012,Support for Implementation of Antimoney Laundering Decree,Viet Nam,Sovereign,Technical Assistance,Closed,4731,13/12/2005,"500,000.00",,Finance,Finance sector development,,,,Southeast Asia Department,State Bank of Vietnam,"Subramanian,Valyoor V."
39105-012,High Level Coordination Meeting on Rehabilitation and Reconstruction Assistance to Tsunami Affected Countries,Regional,Sovereign,Technical Assistance,Closed,6233,03/03/2005,"170,000.00",Regional,Public sector management,Social protection initiatives,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Dobias, Robert J."
39106-012,Uttaranchal Power Sector Capacity Building Project,India,Sovereign,Technical Assistance,Closed,4630,11/08/2005,"500,000.00",,Energy,Large hydropower generation,,,,South Asia Department,Uttarakhand Energy Department (UED),"Kobayashi, Hiroki"
39107-012,Operationalization of Managing for Development Results in Nepal,Nepal,Sovereign,Technical Assistance,Closed,4765,13/02/2006,0,,Public sector management,Economic affairs management,,,,South Asia Department,National Planning Commission,"Shrestha, Surya P."
39108-012,Restoration of Livelihoods of the Tsunami-Affected Fishers and Farmers,Maldives,Sovereign,Grant,Closed,9066,29/04/2005,0,,"Agriculture, natural resources and rural development",,,,,South Asia Department,Ministry of Finance (formerly Ministry of Finance and Treasury),"Tayyab, Ahsan"
39109-012,Catastrophe Risk Insurance Mechanisms,Regional,Sovereign,Technical Assistance,Closed,6284,09/12/2005,0,Regional,Finance,Insurance and contractual savings,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Settle, William Graham"
39113-012,Improving the Livelihood of Poor Farmers & Disadvantaged Groups in the Eastern Development Region (EDR),Nepal,Sovereign,Grant,Closed,9101,13/12/2006,0,,"Agriculture, natural resources and rural development",,C,C,,South Asia Department,Ministry of Agriculture and Cooperatives,"Tayyab, Ahsan"
39114-013,Tsunami Emergency Assistance (Sector) Project,India,Sovereign,Grant | Loan,Closed,0005 | 2166,14/04/2005,"200,000,000.00",,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport",Rural market infrastructure | Rural water supply services | Electricity transmission and distribution | Social protection initiatives | Road transport (non-urban) | Water transport (non-urban),B,B,B,South Asia Department,Disaster Management Department of Kerala,"Srivastava, Pushkar"
39118-013,Cyclone Emergency Assistance Project (formerly Emergency Rehabilitation Project),Cook Islands,Sovereign,Loan | Technical Assistance,Closed,2174 | 4605,30/06/2005,"3,430,000.00",,Energy | Public sector management | Transport | Water and other urban infrastructure and services,Electricity transmission and distribution | Economic affairs management | Road transport (non-urban) | Urban roads and traffic management | Water transport (non-urban) | Other urban services | Urban solid waste management | Urban water supply,B,,,Pacific Department,Ministry of Finance & Economic Management,"Jarvenpaa, Sirpa H."
39124-012,Implementing Pilot Projects for Small-Piped Water Networks,Regional,Sovereign,Technical Assistance,Closed,6265,26/10/2005,"200,000.00",Regional,Water and other urban infrastructure and services,Urban water supply,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Seetharam, K. E."
39125-012,Implementation of Telecommunication Sector Policy Reforms and Capacity Building,Cambodia,Sovereign,Technical Assistance,Closed,4830,25/08/2006,"1,000,000.00",,Information and communication technology,"ICT strategy and policy, and capacity development",,,,Southeast Asia Department,Ministry of Posts & Telecommunications of Cambodia,"Kawano, Takaaki"
39129-012,Promoting Sound Environmental Management in the Aftermath of the Tsunami Disaster,Maldives,Sovereign,Technical Assistance,Closed,4614,19/07/2005,0,,Water and other urban infrastructure and services,"Urban policy, institutional and capacity development",,,,South Asia Department,Ministry of Finance (formerly Ministry of Finance and Treasury),"Gallego-Lizon, Tatiana"
39135-012,Integrated Coastal Management and Related Investment Development (formerly Potential ICZM and Coastal Protection Investments in Selected Coastal Studi,India,Sovereign,Technical Assistance,Closed,4692,21/11/2005,0,,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Ministry of Environment and Forests,"Ranawana, Sanath"
39141-012,Corporatization of Bangladesh Power Development Board,Bangladesh,Sovereign,Technical Assistance,Closed,4626,02/08/2005,"800,000.00",,Energy,Energy sector development and institutional reform,,,,South Asia Department,"Ministry of Power, Energy and Mineral Resources","Song, Pil-Bae"
